PC1,PC2,pdv
-0.06575829294985402,-0.24239173530277935,CLI0026128
9.478200975587864,17.18156151721473,CLI0026134
-0.06575829294985402,-0.24239173530277935,CLI0026150
-0.06575829294985402,-0.24239173530277935,CLI0026151
-0.06772323335159952,-0.24105251095981603,CLI0026152
6.243236060721107,4.780647002004813,CLI0026153
-0.06575829294985402,-0.24239173530277935,CLI0026155
-0.06575829294985402,-0.24239173530277935,CLI0026177
0.10321345314914546,-0.43446320633346436,CLI0026180
1.3856384867527936,6.0223424160920525,CLI0026181
-0.06609888557662223,-0.24273949126558433,CLI0026183
-0.06958475018716515,-0.2504795274684965,CLI0026186
-0.06563821911829325,-0.24290478841657298,CLI0026189
